GENE_CLEAN	PROJECTS_DETECTED	PROJECTS_I_ENRICHED	PROJECTS_E_ENRICHED	PROJECTS_BALANCED	CONSENSUS_CLASS	TOTAL_BOTH_PRESENT	TOTAL_E_ONLY	TOTAL_I_ONLY	TOTAL_DISCORDANT	I_ONLY_MINUS_E_ONLY	EXACT_BINOMIAL_P	P1066593_DIRECTION	P1066593_E_ONLY	P1066593_I_ONLY	P1346432_DIRECTION	P1346432_E_ONLY	P1346432_I_ONLY	P881852_DIRECTION	P881852_E_ONLY	P881852_I_ONLY	BH_FDR_Q
blaCTX-M-36	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
blaFOX-2	1	0	0	1	BALANCED_ONLY	0	1	1	2	0	1.000000	ABSENT	0	0	BALANCED	1	1	ABSENT	0	0	1.000000
blaFOX-9	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
blaGES-1	1	0	0	1	BALANCED_ONLY	0	1	1	2	0	1.000000	ABSENT	0	0	BALANCED	1	1	ABSENT	0	0	1.000000
blaGES-20	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	ABSENT	0	0	I_ENRICHED	0	1	1.000000
blaGES-5	1	1	0	0	LIMITED_SUPPORT	0	0	5	5	5	0.062500	ABSENT	0	0	I_ENRICHED	0	5	ABSENT	0	0	0.219340
blaIMP-16	3	3	0	0	I_ENRICHED_ALL_3	0	0	8	8	8	0.007812	I_ENRICHED	0	1	I_ENRICHED	0	4	I_ENRICHED	0	3	0.072656
blaIMP-28	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	ABSENT	0	0	I_ENRICHED	0	1	1.000000
blaIMP-33	2	2	0	0	I_ENRICHED_2PLUS_NO_E	0	0	7	7	7	0.015625	ABSENT	0	0	I_ENRICHED	0	2	I_ENRICHED	0	5	0.100216
blaIMP-5	1	0	0	1	BALANCED_ONLY	0	2	2	4	0	1.000000	ABSENT	0	0	ABSENT	0	0	BALANCED	2	2	1.000000
blaIMP-54	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
blaKLUC-2	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
blaLCR-1	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
blaMOX-6	1	0	0	1	BALANCED_ONLY	1	0	0	0	0	1.000000	ABSENT	0	0	BALANCED	0	0	ABSENT	0	0	1.000000
blaNPS	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
blaOXA-1	1	0	1	0	LIMITED_SUPPORT	0	1	0	1	-1	1.000000	ABSENT	0	0	E_ENRICHED	1	0	ABSENT	0	0	1.000000
blaOXA-10	3	3	0	0	I_ENRICHED_ALL_3	2	0	11	11	11	0.000977	I_ENRICHED	0	1	I_ENRICHED	0	6	I_ENRICHED	0	4	0.015137
blaOXA-101	2	2	0	0	I_ENRICHED_2PLUS_NO_E	0	0	5	5	5	0.062500	ABSENT	0	0	I_ENRICHED	0	4	I_ENRICHED	0	1	0.219340
blaOXA-119	2	2	0	0	I_ENRICHED_2PLUS_NO_E	0	0	6	6	6	0.031250	ABSENT	0	0	I_ENRICHED	0	4	I_ENRICHED	0	2	0.145313
blaOXA-129	1	1	0	0	LIMITED_SUPPORT	0	0	6	6	6	0.031250	ABSENT	0	0	I_ENRICHED	0	6	ABSENT	0	0	0.145313
blaOXA-13	1	0	1	0	LIMITED_SUPPORT	0	1	0	1	-1	1.000000	ABSENT	0	0	E_ENRICHED	1	0	ABSENT	0	0	1.000000
blaOXA-2	2	2	0	0	I_ENRICHED_2PLUS_NO_E	1	0	7	7	7	0.015625	ABSENT	0	0	I_ENRICHED	0	6	I_ENRICHED	0	1	0.100216
blaOXA-20	2	2	0	0	I_ENRICHED_2PLUS_NO_E	0	0	11	11	11	0.000977	ABSENT	0	0	I_ENRICHED	0	7	I_ENRICHED	0	4	0.015137
blaOXA-205	2	2	0	0	I_ENRICHED_2PLUS_NO_E	0	0	12	12	12	0.000488	ABSENT	0	0	I_ENRICHED	0	6	I_ENRICHED	0	6	0.009082
blaOXA-21	1	0	0	1	BALANCED_ONLY	1	0	0	0	0	1.000000	ABSENT	0	0	BALANCED	0	0	ABSENT	0	0	1.000000
blaOXA-211	1	1	0	0	LIMITED_SUPPORT	1	0	3	3	3	0.250000	ABSENT	0	0	I_ENRICHED	0	3	ABSENT	0	0	0.540698
blaOXA-212	1	1	0	0	LIMITED_SUPPORT	0	0	2	2	2	0.500000	ABSENT	0	0	I_ENRICHED	0	2	ABSENT	0	0	0.894231
blaOXA-256	1	1	0	0	LIMITED_SUPPORT	1	0	2	2	2	0.500000	ABSENT	0	0	ABSENT	0	0	I_ENRICHED	0	2	0.894231
blaOXA-280	1	1	0	0	LIMITED_SUPPORT	1	0	2	2	2	0.500000	ABSENT	0	0	I_ENRICHED	0	2	ABSENT	0	0	0.894231
