GENE_CLEAN	PROJECTS_DETECTED	PROJECTS_I_ENRICHED	PROJECTS_E_ENRICHED	PROJECTS_BALANCED	CONSENSUS_CLASS	TOTAL_BOTH_PRESENT	TOTAL_E_ONLY	TOTAL_I_ONLY	TOTAL_DISCORDANT	I_ONLY_MINUS_E_ONLY	EXACT_BINOMIAL_P	P1066593_DIRECTION	P1066593_E_ONLY	P1066593_I_ONLY	P1346432_DIRECTION	P1346432_E_ONLY	P1346432_I_ONLY	P881852_DIRECTION	P881852_E_ONLY	P881852_I_ONLY	BH_FDR_Q
str	1	1	0	0	LIMITED_SUPPORT	0	0	2	2	2	0.500000	ABSENT	0	0	I_ENRICHED	0	2	ABSENT	0	0	0.894231
sul1	3	3	0	0	I_ENRICHED_ALL_3	7	0	14	14	14	0.000122	I_ENRICHED	0	2	I_ENRICHED	0	8	I_ENRICHED	0	4	0.005676
sul2	2	2	0	0	I_ENRICHED_2PLUS_NO_E	3	0	9	9	9	0.003906	ABSENT	0	0	I_ENRICHED	0	6	I_ENRICHED	0	3	0.045410
tet(32)	1	1	0	0	LIMITED_SUPPORT	0	0	4	4	4	0.125000	ABSENT	0	0	I_ENRICHED	0	4	ABSENT	0	0	0.310000
tet(36)	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
tet(39)	3	3	0	0	I_ENRICHED_ALL_3	2	0	10	10	10	0.001953	I_ENRICHED	0	1	I_ENRICHED	0	5	I_ENRICHED	0	4	0.025949
tet(40)	1	1	0	0	LIMITED_SUPPORT	0	0	5	5	5	0.062500	ABSENT	0	0	I_ENRICHED	0	5	ABSENT	0	0	0.219340
tet(44)	1	1	0	0	LIMITED_SUPPORT	0	0	4	4	4	0.125000	ABSENT	0	0	I_ENRICHED	0	4	ABSENT	0	0	0.310000
tet(A)	1	1	0	0	LIMITED_SUPPORT	1	0	5	5	5	0.062500	ABSENT	0	0	I_ENRICHED	0	5	ABSENT	0	0	0.219340
tet(C)	2	1	0	1	LIMITED_SUPPORT	2	0	6	6	6	0.031250	ABSENT	0	0	I_ENRICHED	0	6	BALANCED	0	0	0.145313
tet(E)	1	1	0	0	LIMITED_SUPPORT	2	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
tet(G)	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
tet(M)	1	1	0	0	LIMITED_SUPPORT	0	0	5	5	5	0.062500	ABSENT	0	0	I_ENRICHED	0	5	ABSENT	0	0	0.219340
tet(O)	2	2	0	0	I_ENRICHED_2PLUS_NO_E	1	0	7	7	7	0.015625	ABSENT	0	0	I_ENRICHED	0	6	I_ENRICHED	0	1	0.100216
tet(Q)	3	3	0	0	I_ENRICHED_ALL_3	1	0	14	14	14	0.000122	I_ENRICHED	0	1	I_ENRICHED	0	6	I_ENRICHED	0	7	0.005676
tet(S)	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
tet(W)	1	1	0	0	LIMITED_SUPPORT	1	0	6	6	6	0.031250	ABSENT	0	0	I_ENRICHED	0	6	ABSENT	0	0	0.145313
tet(X)	2	2	0	0	I_ENRICHED_2PLUS_NO_E	4	0	7	7	7	0.015625	ABSENT	0	0	I_ENRICHED	0	3	I_ENRICHED	0	4	0.100216
tetB(P)	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
tmexC3	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
tmexD3	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
