Run	BioProject	Experiment	LibraryName	Sample	SampleName	BioSample	ScientificName	LibraryStrategy	LibrarySource	LibrarySelection	spots	bases	avgLength	size_MB	Model
SRR2938130	PRJNA300541	SRX1440796	WGS_paired_SW166	SRS1170834	SW166	SAMN04262573	wastewater metagenome	WGS	METAGENOMIC	RANDOM	6309979	879096905	139	453	Illumina HiSeq 2500
SRR2938131	PRJNA300541	SRX1440797	WGS_paired_SW167	SRS1170832	SW167	SAMN04262559	wastewater metagenome	WGS	METAGENOMIC	RANDOM	11254902	1560641609	138	835	Illumina HiSeq 2500
SRR2938132	PRJNA300541	SRX1440798	WGS_paired_SW169	SRS1170831	SW169	SAMN04262560	wastewater metagenome	WGS	METAGENOMIC	RANDOM	14085485	1943557109	137	1048	Illumina HiSeq 2500
SRR2938311	PRJNA300541	SRX1440984	WGS_paired_SW012	SRS1170646	SW012	SAMN04262567	wastewater metagenome	WGS	METAGENOMIC	RANDOM	1602205	455025652	283	208	NextSeq 500
SRR2938312	PRJNA300541	SRX1440985	WGS_paired_SW076	SRS1170645	SW076	SAMN04262569	wastewater metagenome	WGS	METAGENOMIC	RANDOM	1781450	505930765	283	232	NextSeq 500
SRR2938313	PRJNA300541	SRX1440986	WGS_paired_SW078	SRS1170644	SW078	SAMN04262570	wastewater metagenome	WGS	METAGENOMIC	RANDOM	1422299	403931977	283	183	NextSeq 500
SRR2938314	PRJNA300541	SRX1440987	WGS_paired_SW081	SRS1170643	SW081	SAMN04262535	wastewater metagenome	WGS	METAGENOMIC	RANDOM	2941306	835329349	283	387	NextSeq 500
SRR2938315	PRJNA300541	SRX1440988	WGS_paired_SW083	SRS1170642	SW083	SAMN04262537	wastewater metagenome	WGS	METAGENOMIC	RANDOM	2919857	829238156	283	394	NextSeq 500
SRR2938316	PRJNA300541	SRX1440989	WGS_paired_SW084	SRS1170641	SW084	SAMN04262538	wastewater metagenome	WGS	METAGENOMIC	RANDOM	4468721	1269114524	283	572	NextSeq 500
SRR2938317	PRJNA300541	SRX1440990	WGS_paired_SW085	SRS1170640	SW085	SAMN04262539	wastewater metagenome	WGS	METAGENOMIC	RANDOM	3266963	927815326	283	419	NextSeq 500
SRR2938318	PRJNA300541	SRX1440991	WGS_paired_SW086	SRS1170639	SW086	SAMN04262540	wastewater metagenome	WGS	METAGENOMIC	RANDOM	1112853	316049955	283	145	NextSeq 500
SRR2938319	PRJNA300541	SRX1440992	WGS_paired_SW087	SRS1170638	SW087	SAMN04262541	wastewater metagenome	WGS	METAGENOMIC	RANDOM	2117439	601351634	283	274	NextSeq 500
SRR2938320	PRJNA300541	SRX1440993	WGS_paired_SW088	SRS1170636	SW088	SAMN04262542	wastewater metagenome	WGS	METAGENOMIC	RANDOM	1911151	542766014	283	254	NextSeq 500
SRR2938321	PRJNA300541	SRX1440994	WGS_paired_SW091	SRS1170637	SW091	SAMN04262572	wastewater metagenome	WGS	METAGENOMIC	RANDOM	1356946	385372169	283	177	NextSeq 500
SRR2938322	PRJNA300541	SRX1440995	WGS_paired_SW168	SRS1170635	SW168	SAMN04262574	wastewater metagenome	WGS	METAGENOMIC	RANDOM	3095848	879219356	283	404	NextSeq 500
SRR2938323	PRJNA300541	SRX1440996	WGS_paired_SW178	SRS1170633	SW178	SAMN04262575	wastewater metagenome	WGS	METAGENOMIC	RANDOM	2574856	731257741	283	338	NextSeq 500
SRR2938324	PRJNA300541	SRX1440997	WGS_paired_SW180	SRS1170634	SW180	SAMN04262576	wastewater metagenome	WGS	METAGENOMIC	RANDOM	742877	210976643	283	96	NextSeq 500
SRR2938325	PRJNA300541	SRX1440998	WGS_paired_SW181	SRS1170631	SW181	SAMN04262562	wastewater metagenome	WGS	METAGENOMIC	RANDOM	5060531	1437187912	283	660	NextSeq 500
SRR2938326	PRJNA300541	SRX1440999	WGS_paired_SW183	SRS1170632	SW183	SAMN04262543	wastewater metagenome	WGS	METAGENOMIC	RANDOM	7257088	2061009312	283	929	NextSeq 500
SRR2938327	PRJNA300541	SRX1441000	WGS_paired_SW184	SRS1170630	SW184	SAMN04262544	wastewater metagenome	WGS	METAGENOMIC	RANDOM	1094083	310719061	283	148	NextSeq 500
SRR2938328	PRJNA300541	SRX1441001	WGS_paired_SW186	SRS1170629	SW186	SAMN04262546	wastewater metagenome	WGS	METAGENOMIC	RANDOM	1618990	459792585	283	217	NextSeq 500
SRR2938329	PRJNA300541	SRX1441002	WGS_paired_SW187	SRS1170628	SW187	SAMN04262547	wastewater metagenome	WGS	METAGENOMIC	RANDOM	2274629	645993091	283	295	NextSeq 500
SRR2938330	PRJNA300541	SRX1441003	WGS_paired_SW188	SRS1170627	SW188	SAMN04262548	wastewater metagenome	WGS	METAGENOMIC	RANDOM	2506284	711783007	283	332	NextSeq 500
SRR2938331	PRJNA300541	SRX1441004	WGS_paired_SW189	SRS1170626	SW189	SAMN04262549	wastewater metagenome	WGS	METAGENOMIC	RANDOM	2580919	732979705	283	335	NextSeq 500
SRR2938332	PRJNA300541	SRX1441005	WGS_paired_SW190	SRS1170625	SW190	SAMN04262550	wastewater metagenome	WGS	METAGENOMIC	RANDOM	3271410	929078332	283	422	NextSeq 500
SRR2938333	PRJNA300541	SRX1441006	WGS_paired_SW191	SRS1170624	SW191	SAMN04262577	wastewater metagenome	WGS	METAGENOMIC	RANDOM	3195936	907644029	283	416	NextSeq 500
SRR2938334	PRJNA300541	SRX1441007	WGS_paired_SW192	SRS1170623	SW192	SAMN04262563	wastewater metagenome	WGS	METAGENOMIC	RANDOM	1062351	301707193	283	141	NextSeq 500
SRR2938335	PRJNA300541	SRX1441008	WGS_paired_SW193	SRS1170622	SW193	SAMN04262578	wastewater metagenome	WGS	METAGENOMIC	RANDOM	4850783	1377619411	283	623	NextSeq 500
SRR2938336	PRJNA300541	SRX1441009	WGS_paired_SW194	SRS1170621	SW194	SAMN04262564	wastewater metagenome	WGS	METAGENOMIC	RANDOM	2491493	707581725	283	322	NextSeq 500
SRR33902036	PRJNA1274045	SRX29109669	C1	SRS25315933	Effluent wastewater	SAMN48974007	wastewater metagenome	WGS	METAGENOMIC	RANDOM	15162084	4578949368	302	1562	Illumina NovaSeq 6000
SRR33902050	PRJNA1274045	SRX29109655	T3	SRS25315919	Influent wastewater	SAMN48974001	wastewater metagenome	WGS	METAGENOMIC	RANDOM	23755266	7174090332	302	2404	Illumina NovaSeq 6000
SRR35815510	PRJNA1346432	SRX30864819	e_PRE-VB	SRS26870130	e-PRE-VB	SAMN52834529	metagenome	WGS	METAGENOMIC	RANDOM PCR	46372474	13911742200	300	4652	Illumina NovaSeq 6000
SRR35815511	PRJNA1346432	SRX30864818	e_PRE-NO	SRS26870129	e-PRE-NO	SAMN52834528	metagenome	WGS	METAGENOMIC	RANDOM PCR	48140840	14442252000	300	4804	Illumina NovaSeq 6000
SRR35815512	PRJNA1346432	SRX30864817	e_PRE-MZ	SRS26870128	e-PRE-MZ	SAMN52834527	metagenome	WGS	METAGENOMIC	RANDOM PCR	58374457	17512337100	300	5876	Illumina NovaSeq 6000
SRR35815513	PRJNA1346432	SRX30864816	e_PRE-GV	SRS26870127	e-PRE-GV	SAMN52834526	metagenome	WGS	METAGENOMIC	RANDOM PCR	35387407	10616222100	300	3487	Illumina NovaSeq 6000
SRR35815514	PRJNA1346432	SRX30864814	e_POST-VB	SRS26870125	e-POST-VB	SAMN52834524	metagenome	WGS	METAGENOMIC	RANDOM PCR	47272158	14181647400	300	4705	Illumina NovaSeq 6000
SRR35815515	PRJNA1346432	SRX30864813	e_POST-NO	SRS26870124	e-POST-NO	SAMN52834523	metagenome	WGS	METAGENOMIC	RANDOM PCR	74899559	22469867700	300	7772	Illumina NovaSeq 6000
SRR35815516	PRJNA1346432	SRX30864812	e_POST-MZ	SRS26870123	e-POST-MZ	SAMN52834522	metagenome	WGS	METAGENOMIC	RANDOM PCR	28503238	8550971400	300	2817	Illumina NovaSeq 6000
SRR35815517	PRJNA1346432	SRX30864815	e_PRE-CB	SRS26870126	e-PRE-CB	SAMN52834525	metagenome	WGS	METAGENOMIC	RANDOM PCR	73712239	22113671700	300	7401	Illumina NovaSeq 6000
SRR35815518	PRJNA1346432	SRX30864811	i_PRE-VB	SRS26870122	i-PRE-VB	SAMN52834539	metagenome	WGS	METAGENOMIC	RANDOM PCR	70914549	21274364700	300	7261	Illumina NovaSeq 6000
